mfl_id,mfl_name,player,pos,team
10703,"Wilson, Russell",russell wilson,QB,SEA
10708,"Miller, Lamar",lamar miller,RB,WAS
10709,"Martin, Doug",doug martin,RB,FA
10714,"Turbin, Robert",robert turbin,RB,FA
10721,"Floyd, Michael",michael floyd,WR,FA
10722,"Jeffery, Alshon",alshon jeffery,WR,PHI
10723,"Sanu, Mohamed",mohamed sanu,WR,DET
10729,"Hilton, T.Y.",ty hilton,WR,IND
10734,"Wright, Jarius",jarius wright,WR,FA
10737,"Benjamin, Travis",travis benjamin,WR,SFO
10738,"Jones, Marvin",marvin jones,WR,DET
10742,"Allen, Dwayne",dwayne allen,TE,FA
10838,"Ellison, Rhett",rhett ellison,TE,FA
10862,"Bullock, Randy",randy bullock,K,CIN
10868,"Zuerlein, Greg",greg zuerlein,K,DAL
10870,"Morris, Alfred",alfred morris,RB,NYG
10932,"Bolden, Brandon",brandon bolden,RB,NEP
10935,"Tanney, Alex",alex tanney,QB,NYG
10940,"Carrier, Derek",derek carrier,TE,LVR
10948,"Keenum, Case",case keenum,QB,CLE
10956,"Thompson, Deonte",deonte thompson,WR,FA
10960,"Gordon, Josh",josh gordon,WR,SEA
10973,"Beasley, Cole",cole beasley,WR,BUF
10976,"Tucker, Justin",justin tucker,K,BAL
10983,"Hogan, Chris",chris hogan,WR,FA
10985,"Olawale, Jamize",jamize olawale,RB,DAL
11007,"Celek, Garrett",garrett celek,TE,FA
11065,"Brinkley, Beau",beau brinkley,TE,FA
11076,"Kearse, Jermaine",jermaine kearse,WR,FA
11100,"DiMarco, Patrick",patrick dimarco,RB,FA
11101,"Develin, James",james develin,RB,FA
11104,"Bellamy, Josh",josh bellamy,WR,FA
11128,"Nelson, Kyle",kyle nelson,TE,FA
11150,"Smith, Geno",geno smith,QB,SEA
11151,"Barkley, Matt",matt barkley,QB,BUF
11152,"Glennon, Mike",mike glennon,QB,JAC
11170,"Bray, Tyler",tyler bray,QB,CHI
11175,"Ellington, Andre",andre ellington,RB,FA
11177,"Barner, Kenjon",kenjon barner,RB,TBB
11182,"Burkhead, Rex",rex burkhead,RB,NEP
11186,"Thompson, Chris",chris thompson,RB,JAC
11188,"Riddick, Theo",theo riddick,RB,LVR
11192,"Bell, Le'Veon",leveon bell,RB,KCC
11193,"Bernard, Giovani",giovani bernard,RB,CIN
11199,"Ware, Spencer",spencer ware,RB,FA
11211,"Williams, Terrance",terrance williams,WR,FA
11212,"Hunter, Justin",justin hunter,WR,FA
11213,"Austin, Tavon",tavon austin,WR,GBP
11222,"Allen, Keenan",keenan allen,WR,LAC
11225,"Patterson, Cordarrelle",cordarrelle patterson,WR,CHI
11227,"Stills, Kenny",kenny stills,WR,BUF
11228,"Woods, Robert",robert woods,WR,LAR
11232,"Hopkins, DeAndre",deandre hopkins,WR,ARI
11237,"Shepard, Russell",russell shepard,WR,FA
11239,"Goodwin, Marquise",marquise goodwin,WR,PHI
11244,"Kelce, Travis",travis kelce,TE,KCC
11247,"Ertz, Zach",zach ertz,TE,PHI
11248,"Reed, Jordan",jordan reed,TE,SFO
11250,"Eifert, Tyler",tyler eifert,TE,JAC
11252,"Toilolo, Levine",levine toilolo,TE,NYG
11257,"McDonald, Vance",vance mcdonald,TE,FA
11337,"Fells, Darren",darren fells,TE,HOU
11339,"Tavecchio, Giorgio",giorgio tavecchio,K,FA
11367,"Juszczyk, Kyle",kyle juszczyk,RB,SFO
11381,"Willson, Luke",luke willson,TE,SEA
11387,"Hopkins, Dustin",dustin hopkins,K,WAS
11390,"Murray, Latavius",latavius murray,RB,NOS
11399,"Griffin, Ryan",ryan griffin,TE,NYJ
11406,"Butler, Brice",brice butler,WR,FA
11441,"Griffin, Ryan",ryan griffin,QB,TBB
11448,"Harris, Demetrius",demetrius harris,TE,CHI
11454,"Anderson, C.J.",cj anderson,RB,FA
11456,"Brown, Jaron",jaron brown,WR,FA
11474,"Line, Zach",zach line,RB,FA
11516,"Doyle, Jack",jack doyle,TE,IND
11529,"Hill, Josh",josh hill,TE,NOS
11640,"Bridgewater, Teddy",teddy bridgewater,QB,CAR
11642,"Bortles, Blake",blake bortles,QB,LAR
11643,"McCarron, A.J.",aj mccarron,QB,HOU
11644,"Carr, Derek",derek carr,QB,LVR
11647,"Thomas, Logan",logan thomas,TE,WAS
11654,"Hill, Jeremy",jeremy hill,RB,FA
11657,"Hyde, Carlos",carlos hyde,RB,SEA
11659,"Thomas, De'Anthony",deanthony thomas,WR,FA
11660,"Freeman, Devonta",devonta freeman,RB,FA
11668,"Crowell, Isaiah",isaiah crowell,RB,FA
11670,"Watkins, Sammy",sammy watkins,WR,KCC
11671,"Evans, Mike",mike evans,WR,TBB
11672,"Lee, Marqise",marqise lee,WR,NEP
11673,"Benjamin, Kelvin",kelvin benjamin,WR,FA
11674,"Cooks, Brandin",brandin cooks,WR,HOU
11675,"Adams, Davante",davante adams,WR,GBP
11676,"Matthews, Jordan",jordan matthews,WR,SFO
11677,"Moncrief, Donte",donte moncrief,WR,NEP
11678,"Robinson, Allen",allen robinson,WR,CHI
11679,"Beckham, Odell",odell beckham,WR,CLE
11680,"Landry, Jarvis",jarvis landry,WR,CLE
11681,"Richardson, Paul",paul richardson,WR,FA
11686,"Jones, T.J.",tj jones,WR,FA
11688,"Bryant, Martavis",martavis bryant,WR,FA
11689,"Ellington, Bruce",bruce ellington,WR,FA
11695,"Ebron, Eric",eric ebron,TE,PIT
11697,"Seferian-Jenkins, Austin",austin seferianjenkins,TE,FA
11701,"Grimble, Xavier",xavier grimble,TE,FA
11705,"Burton, Trey",trey burton,TE,IND
11747,"White, James",james white,RB,NEP
11758,"Latimer, Cody",cody latimer,WR,FA
11760,"Garoppolo, Jimmy",jimmy garoppolo,QB,SFO
11761,"McKinnon, Jerick",jerick mckinnon,RB,SFO
11783,"Brown, John",john brown,WR,BUF
11785,"Rodgers, Richard",richard rodgers,TE,PHI
11812,"Grant, Ryan",ryan grant,WR,FA
11834,"Blue, Alfred",alfred blue,RB,FA
11835,"Fales, David",david fales,QB,FA
11850,"Enunwa, Quincy",quincy enunwa,WR,FA
11854,"Gilbert, Garrett",garrett gilbert,QB,DAL
11886,"Williams, Damien",damien williams,RB,KCC
11890,"Wilson, Albert",albert wilson,WR,MIA
11894,"Fluellen, David",david fluellen,RB,FA
11925,"Hurns, Allen",allen hurns,WR,MIA
11931,"Fowler, Bennie",bennie fowler,WR,NOS
11936,"Boswell, Chris",chris boswell,K,PIT
11938,"Thielen, Adam",adam thielen,WR,MIN
11945,"Santos, Cairo",cairo santos,K,CHI
11947,"McManus, Brandon",brandon mcmanus,K,DEN
11951,"Snead, Willie",willie snead,WR,BAL
11957,"Inman, Dontrelle",dontrelle inman,WR,WAS
11960,"Catanzaro, Chandler",chandler catanzaro,K,FA
11964,"Perry, Senorise",senorise perry,RB,TEN
11966,"Parkey, Cody",cody parkey,K,CLE
11975,"Gabriel, Taylor",taylor gabriel,WR,FA
12040,"Smith, Keith",keith smith,RB,ATL
12098,"West, Charcandrick",charcandrick west,RB,FA
12110,"Brate, Cameron",cameron brate,TE,TBB
12138,"Simonson, Scott",scott simonson,TE,FA
12140,"Winston, Jameis",jameis winston,QB,NOS
12141,"Mariota, Marcus",marcus mariota,QB,LVR
12142,"Hundley, Brett",brett hundley,QB,ARI
12145,"Mannion, Sean",sean mannion,QB,MIN
12150,"Gurley, Todd",todd gurley,RB,ATL
12151,"Gordon, Melvin",melvin gordon,RB,DEN
12152,"Coleman, Tevin",tevin coleman,RB,SFO
12153,"Yeldon, T.J.",tj yeldon,RB,BUF
12154,"Ajayi, Jay",jay ajayi,RB,FA
12155,"Abdullah, Ameer",ameer abdullah,RB,MIN
12157,"Johnson, Duke",duke johnson,RB,HOU
12159,"Allen, Javorius",javorius allen,RB,FA
12161,"Artis-Payne, Cameron",cameron artispayne,RB,FA
12164,"Davis, Mike",mike davis,RB,CAR
12169,"Rawls, Thomas",thomas rawls,RB,FA
12171,"Johnson, David",david johnson,RB,HOU
12175,"Cooper, Amari",amari cooper,WR,DAL
12176,"Parker, DeVante",devante parker,WR,MIA
12177,"White, Kevin",kevin white,WR,SFO
12179,"Strong, Jaelen",jaelen strong,WR,FA
12181,"Agholor, Nelson",nelson agholor,WR,LVR
12182,"Smith, Devin",devin smith,WR,NEP
12184,"Crowder, Jamison",jamison crowder,WR,NYJ
12185,"Hardy, Justin",justin hardy,WR,FA
12186,"Diggs, Stefon",stefon diggs,WR,BUF
12187,"Lockett, Tyler",tyler lockett,WR,SEA
12188,"Dorsett, Phillip",phillip dorsett,WR,SEA
12197,"Perriman, Breshad",breshad perriman,WR,NYJ
12205,"Funchess, Devin",devin funchess,WR,GBP
12206,"Williams, Maxx",maxx williams,TE,ARI
12207,"O'Leary, Nick",nick oleary,TE,LVR
12208,"Heuerman, Jeff",jeff heuerman,TE,FA
12209,"Koyack, Ben",ben koyack,TE,FA
12210,"Walford, Clive",clive walford,TE,FA
12211,"James, Jesse",jesse james,TE,DET
12212,"Kroft, Tyler",tyler kroft,TE,BUF
12213,"Bell, Blake",blake bell,TE,DAL
12257,"Conley, Chris",chris conley,WR,JAC
12261,"Montgomery, Ty",ty montgomery,RB,NOS
12263,"Waller, Darren",darren waller,TE,LVR
12264,"Zenner, Zach",zach zenner,RB,FA
12309,"Pruitt, MyCole",mycole pruitt,TE,TEN
12317,"Uzomah, C.J.",cj uzomah,TE,CIN
12319,"Nelson, J.J.",jj nelson,WR,IND
12325,"Burton, Michael",michael burton,RB,NOS
12328,"Boyle, Nick",nick boyle,TE,BAL
12330,"O'Shaughnessy, James",james oshaughnessy,TE,JAC
12338,"Davis, Geremy",geremy davis,WR,FA
12367,"Murphy, Marcus",marcus murphy,RB,FA
12378,"Swaim, Geoff",geoff swaim,TE,TEN
12381,"Siemian, Trevor",trevor siemian,QB,NOS
12386,"Brown, Malcolm",malcolm brown,RB,LAR
12391,"Williams, Tyrell",tyrell williams,WR,LVR
12394,"Carter, DeAndre",deandre carter,WR,CHI
12402,"Grant, Corey",corey grant,RB,FA
12417,"Lambo, Josh",josh lambo,K,JAC
12429,"White, DeAndrew",deandrew white,WR,BAL
12437,"Myers, Jason",jason myers,K,SEA
12443,"Kumerow, Jake",jake kumerow,WR,BUF
12444,"Smith, Rod",rod smith,RB,FA
12447,"Mostert, Raheem",raheem mostert,RB,SFO
12464,"Byrd, Damiere",damiere byrd,WR,NEP
12465,"Meredith, Cameron",cameron meredith,WR,FA
12471,"Roberts, Seth",seth roberts,WR,FA
12476,"Heinicke, Taylor",taylor heinicke,QB,WAS
12479,"Lee, Khari",khari lee,TE,FA
12505,"Humphries, Adam",adam humphries,WR,TEN
12585,"Brown, Daniel",daniel brown,TE,NYJ
12586,"Jennings, Darius",darius jennings,WR,FA
12596,"LaCosse, Matt",matt lacosse,TE,NEP
12608,"Winchester, James",james winchester,TE,KCC
12610,"Wentz, Carson",carson wentz,QB,PHI
12611,"Goff, Jared",jared goff,QB,DET
12612,"Lynch, Paxton",paxton lynch,QB,FA
12615,"Jones, Cardale",cardale jones,QB,FA
12616,"Brissett, Jacoby",jacoby brissett,QB,IND
12617,"Kessler, Cody",cody kessler,QB,FA
12620,"Prescott, Dak",dak prescott,QB,DAL
12621,"Allen, Brandon",brandon allen,QB,CIN
12623,"Driskel, Jeff",jeff driskel,QB,DEN
12625,"Elliott, Ezekiel",ezekiel elliott,RB,DAL
12626,"Henry, Derrick",derrick henry,RB,TEN
12627,"Prosise, C.J.",cj prosise,RB,FA
12628,"Collins, Alex",alex collins,RB,SEA
12629,"Booker, Devontae",devontae booker,RB,LVR
12630,"Drake, Kenyan",kenyan drake,RB,ARI
12631,"Perkins, Paul",paul perkins,RB,IND
12632,"Dixon, Kenneth",kenneth dixon,RB,FA
12634,"Howard, Jordan",jordan howard,RB,PHI
12635,"Williams, Jonathan",jonathan williams,RB,WAS
12636,"Smallwood, Wendell",wendell smallwood,RB,FA
12637,"Barber, Peyton",peyton barber,RB,WAS
12639,"Ervin, Tyler",tyler ervin,RB,GBP
12640,"Ferguson, Josh",josh ferguson,RB,FA
12645,"Treadwell, Laquon",laquon treadwell,WR,ATL
12646,"Coleman, Corey",corey coleman,WR,FA
12647,"Fuller, Will",will fuller,WR,HOU
12648,"Doctson, Josh",josh doctson,WR,NYJ
12650,"Boyd, Tyler",tyler boyd,WR,CIN
12651,"Miller, Braxton",braxton miller,WR,FA
12652,"Thomas, Michael",michael thomas,WR,NOS
12656,"Higgins, Rashard",rashard higgins,WR,CLE
12657,"Sharpe, Tajae",tajae sharpe,WR,FA
12658,"Shepard, Sterling",sterling shepard,WR,NYG
12660,"Cooper, Pharoh",pharoh cooper,WR,CAR
12665,"Allison, Geronimo",geronimo allison,WR,DET
12667,"Williams, Duke",duke williams,WR,BUF
12673,"Peake, Charone",charone peake,WR,FA
12675,"Thomas, Mike",mike thomas,WR,CIN
12676,"Henry, Hunter",hunter henry,TE,LAC
12677,"Hooper, Austin",austin hooper,TE,CLE
12678,"Higbee, Tyler",tyler higbee,TE,LAR
12680,"Vannett, Nick",nick vannett,TE,DEN
12681,"Adams, Jerell",jerell adams,TE,FA
12685,"Perkins, Joshua",joshua perkins,TE,PHI
12731,"Rogers, Eli",eli rogers,WR,FA
12773,"Moore, Chris",chris moore,WR,BAL
12785,"Robinson, Demarcus",demarcus robinson,WR,KCC
12792,"DeValve, Seth",seth devalve,TE,ARI
12800,"Davis, Trevor",trevor davis,WR,WAS
12801,"Hill, Tyreek",tyreek hill,WR,KCC
12806,"Janovich, Andy",andy janovich,RB,CLE
12807,"Hemingway, Temarrick",temarrick hemingway,TE,WAS
12814,"Grant, Jakeem",jakeem grant,WR,MIA
12815,"Sudfeld, Nate",nate sudfeld,QB,PHI
12819,"Rudock, Jake",jake rudock,QB,MIA
12822,"Vitale, Dan",dan vitale,RB,NEP
12823,"Watt, Derek",derek watt,RB,PIT
12824,"Core, Cody",cody core,WR,NYG
12832,"Jackson, Darius",darius jackson,RB,FA
12833,"Gathers, Rico",rico gathers,TE,FA
12845,"Washington, Dwayne",dwayne washington,RB,NOS
